ni,no,ncase
2,1,110
case_no,Temperature,ExtractionTime,Viscocity
1,135,60,7.6
2,150,65,7.6
3,190,65,7.6
4,230,65,7.4
5,20,60,6.1
6,25,65,7.9
7,20,70,10.1
8,50,60,6.6
9,90,70,9.3
10,170,75,8.3
11,155,70,8.8
12,145,70,8.8
13,90,60,7.3
14,90,75,9.7
15,95,75,9.6
16,165,65,7.7
17,70,65,8.3
18,10,65,7.4
19,90,65,8.6
20,150,60,7.5
21,60,75,10.4
22,50,70,9.7
23,200,60,6.9
24,45,60,6.6
25,195,60,7.7
26,145,75,8.8
27,25,75,11.0
28,135,70,8.7
29,155,65,7.5
30,215,60,7.1
31,110,60,7.0
32,105,70,9.2
33,175,60,7.6
34,150,70,8.7
35,15,65,7.9
36,235,60,7.1
37,240,60,7.1
38,110,65,8.2
39,130,65,7.9
40,60,60,7.2
41,100,75,9.4
42,35,70,9.8
43,50,65,8.3
44,105,75,9.5
45,195,65,7.6
46,160,70,8.5
47,105,60,7.1
48,180,65,7.6
49,60,65,8.4
50,75,70,9.7
51,60,70,9.6
52,65,65,8.4
53,150,75,8.6
54,175,65,7.4
55,40,65,8.4
56,80,75,9.8
57,185,65,7.9
58,40,75,10.5
59,140,75,9.0
60,185,60,7.0
61,95,65,8.2
62,145,65,7.7
63,190,60,7.3
64,230,60,7.2
65,5,60,6.0
66,240,65,7.5
67,140,65,7.8
68,140,70,8.6
69,5,65,7.4
70,210,60,6.8
71,45,65,8.3
72,220,60,7.1
73,45,70,9.7
74,70,70,9.7
75,0,65,7.0
76,115,60,7.3
77,10,70,9.6
78,165,60,7.1
79,15,75,10.8
80,10,60,6.0
81,40,70,9.7
82,20,65,7.8
83,200,65,7.7
84,0,70,8.0
85,40,60,6.9
86,140,60,7.1
87,135,65,8.6
88,155,75,8.5
89,125,65,7.9
90,145,60,7.1
91,235,65,7.2
92,210,65,7.5
93,100,65,8.1
94,130,70,8.9
95,55,60,6.6
96,45,75,10.4
97,75,60,7.1
98,75,75,10.0
99,85,65,8.1
100,155,60,7.4
101,15,60,6.5
102,85,70,9.3
103,180,60,7.6
104,125,70,9.0
105,115,65,8.1
106,30,75,10.9
107,220,65,7.4
108,100,70,9.2
109,50,75,10.5
110,30,60,6.2
